citation,study_id,action,source_rank,outcome_fields,has_pmid,doi,title
"Li et al., Brain Stimulation 2021",PMID_33581283,REMOVE,0,32,Y,10.1016/j.brs.2021.01.012,Cortical plasticity is correlated with cognitive improvement in Alzheimer's dise
"Tang et al., Alzheimer's Research & Therapy 2024",PMID_39267112,KEEP,0,9,Y,10.1186/s13195-024-01570-0,TRanscranial AlterNating current stimulation FOR patients with mild Alzheimer's 
"Tang et al., Alzheimer's Research & Therapy 2024",RIS_records 1501-2000_241,REMOVE,3,9,N,,The Effects of TRanscranial AlterNating Current Stimulation FOR Patients With Mi
"Saha et al., Brain Sci 2024",PMID_40335871,KEEP,0,3,Y,10.1007/s11517-025-03366-2,Using baseline MRI radiomic features to predict the efficacy of repetitive trans
"Saha et al., Brain Sci 2024",PMID_38539615,REMOVE,0,2,Y,10.3390/brainsci14030226,Can Brain Volume-Driven Characteristic Features Predict the Response of Alzheime
"Benussi et al., Brain Stimulation 2021",PMID_33762220,KEEP,0,0,Y,10.1016/j.brs.2021.03.007,"Exposure to gamma tACS in Alzheimer's disease: A randomized, double-blind, sham-"
"Benussi et al., Brain Stimulation 2021",RIS_cochrane_694,REMOVE,3,0,N,10.1111/ene.14974,"Gamma tACS over the precuneus in Alzheimer's disease: a randomized, double-blind"
"Moussavi et al., 2024",PMID_38360452,KEEP,0,2,Y,10.1016/j.neurot.2024.e00331,Repetitive transcranial magnetic stimulation as a treatment for Alzheimer's dise
"Moussavi et al., 2024",RIS_records 501-1000_155,REMOVE,3,2,N,,"A Randomized, Double-blind Placebo Controlled Trial of High Intensity Transcrani"
"Li et al., General Psychiatry 2023",PMID_38155843,KEEP,0,12,Y,10.1136/gpsych-2023-101166,Impact of twice-a-day transcranial direct current stimulation intervention on co
"Li et al., General Psychiatry 2023",RIS_cochrane_242,REMOVE,3,28,N,,Using transcranial direct current stimulation to improve cognitive function in m
"Koch et al., Brain 2022",PMID_36281767,KEEP,0,6,Y,10.1093/brain/awac285,"Precuneus magnetic stimulation for Alzheimer's disease: a randomized, sham-contr"
"Koch et al., Brain 2022",RIS_records 1001-1500_149,REMOVE,3,6,N,,A Randomized Double-blinded Sham-controlled Trial of Precuneus RTMS in Mild to M
"Cui et al., Journal of Alzheimer's Disease 2019",PMID_31127779,KEEP,0,12,Y,10.3233/jad-181296,Repetitive Transcranial Magnetic Stimulation Induced Hypoconnectivity Within the
"Cui et al., Journal of Alzheimer's Disease 2019",SCOPUS_2-s2.0-105029980285,REMOVE,2,12,N,10.2174/011570159X389814251019160424,Repetitive Transcranial Magnetic Stimulation Alters Brain Communication Networks
"Gulley et al., Neurodegener. Dis. Manag. 2021",PMID_34240627,KEEP,0,2,Y,10.2217/nmt-2020-0061,Neurostimulation for cognitive enhancement in Alzheimer's disease (the NICE-AD s
"Gulley et al., Neurodegener. Dis. Manag. 2021",RIS_records 1501-2000_28,REMOVE,3,2,N,,Non-Invasive Home Neurostimulation for Mild to Moderate Alzheimer's Disease: Dou
"Koch et al., NeuroImage 2018",PMID_29277405,KEEP,0,40,Y,10.1016/j.neuroimage.2017.12.048,Transcranial magnetic stimulation of the precuneus enhances memory and neural ac
"Koch et al., NeuroImage 2018",RIS_records 501-1000_339,REMOVE,3,27,N,,Repeated Transcranial Magnetic Stimulation in the Elderly With Cognitive
"Khedr et al., Neurorehabilitation and Neural Repair 2019",PMID_30940012,KEEP,0,28,Y,10.1177/1545968319840285,Therapeutic Role of Transcranial Direct Current Stimulation in Alzheimer Disease
"Khedr et al., Neurorehabilitation and Neural Repair 2019",RIS_records 1501-2000_431,REMOVE,3,28,N,,Therapeutic Role of Transcranial Direct Current Stimulation (tDCS) in Alzheimer 
"Boggio et al., J Neurol Neurosurg Psychiatry 2009",PMID_18977813,KEEP,0,9,Y,10.1136/jnnp.2007.141853,Temporal cortex direct current stimulation enhances performance on a visual reco
"Boggio et al., J Neurol Neurosurg Psychiatry 2009",RIS_records 1501-2000_120,REMOVE,3,9,N,,Transcranial Direct Current Stimulation in Typical and Atypical Alzheimer's Dise
"Coppi et al., Clinical Neurophysiology 2016",RIS_cochrane_589,KEEP,3,3,N,10.1016/j.clinph.2015.09.079,Repetitive Transcranial Magnetic Stimulation (rTMS) applied with H-coil in Alzhe
"Coppi et al., Clinical Neurophysiology 2016",RIS_cochrane_598,REMOVE,3,3,N,10.1016/j.clinph.2015.11.413,ID 295 – Deep repetitive transcranial magnetic stimulation with the H-coil in Al
"Mencarelli et al., Brain Stimulation 2023",RIS_cochrane_600,REMOVE,3,0,N,10.1016/j.clinph.2022.07.413,TH-227. Structural and functional connectivity changes in patients with Alzheime
"Mencarelli et al., Brain Stimulation 2023",RIS_cochrane_708,KEEP,3,3,N,10.1016/j.brs.2023.01.376,Structural and functional connectivity changes in AD patients after 24 weeks of 
"Rajji T et al., Brain Stimulation 2019",RIS_cochrane_614,KEEP,3,2,N,10.1016/j.brs.2018.12.701,Using repetitive Paired Associative Stimulation to enhance brain plasticity and 
"Rajji T et al., Brain Stimulation 2019",RIS_cochrane_744,REMOVE,3,0,N,10.1016/j.jalz.2019.06.4605,STUDYING THE EFFECTS OF REPETITIVE PAIRED ASSOCIATIVE STIMULATION ON DLPFC PLAST
"Koch et al., Alzheimer's Dement 2023",RIS_cochrane_617,KEEP,3,8,Y,10.1002/alz.072962,Precuneus magnetic stimulation for Alzheimer's disease: a novel TMS-EEG based pe
"Koch et al., Alzheimer's Dement 2023",RIS_cochrane_735,REMOVE,3,8,N,,"Precuneus magnetic stimulation for Alzheimer's disease: a randomized, sham-contr"
"Benussi et al., 2021",RIS_cochrane_726,KEEP,3,0,N,,Exploratory research of rTMS in Alzheimer's disease
"Benussi et al., 2021",RIS_records 2001-2495_374,REMOVE,3,0,N,,Deep-TMS for the Treatment of Alzheimer Disease Patients
"Cruz Gonzalez et al., Brain Stimulation 2019",RIS_records 1501-2000_115,KEEP,3,3,N,,Effects of Transcranial Alternating Current Stimulation(tACS) Combined With Comp
"Cruz Gonzalez et al., Brain Stimulation 2019",RIS_records 1501-2000_221,REMOVE,3,3,N,10.1016/j.brs.2018.12.456,Is transcranial direct current stimulation (tDCS) an effective adjunct to cognit
